cimin,pftname,paramb,parama,distname,median,N,cimax,vname
0.001433,CMT06-Grasses,20.0,1.0,gamma,0.034964,0,0.184645,ilai
3.295456,CMT04-Feather,5.0,3.25,unif,4.125874,,4.956292,vpd_close
0.001433,CMT06-Sedges,20.0,1.0,gamma,0.034964,0,0.184645,ilai
-10.84415,CMT04-Feather,-5.0,-11.0,unif,-7.997003,,-5.149856,pstemp_min
2.181825,CMT04-Feather,9.0,2.0,unif,5.503496,,8.825168,pstemp_low
20.15585,CMT04-Feather,26.0,20.0,unif,23.002997,,25.850144,pstemp_high
22.15585,CMT04-Feather,28.0,22.0,unif,25.002997,,27.850144,pstemp_max
778.116414,CMT04-Feather,0.7,8.0,lnorm,3006.455586,0,11766.133712,cuticular_cond
0.154935,CMT04-Feather,0.34,0.15,unif,0.245095,0,0.335255,klai
0.057792,CMT04-Feather,0.35,0.05,unif,0.20015,0,0.342507,labncon
2.181825,CMT06-Lichens,9.0,2.0,unif,5.503496,,8.825168,pstemp_low
20.15585,CMT06-Lichens,26.0,20.0,unif,23.002997,,25.850144,pstemp_high
22.15585,CMT06-Lichens,28.0,22.0,unif,25.002997,,27.850144,pstemp_max
778.116414,CMT06-Lichens,0.7,8.0,lnorm,3006.455586,0,11766.133712,cuticular_cond
0.154935,CMT06-Lichens,0.34,0.15,unif,0.245095,0,0.335255,klai
0.057792,CMT06-Lichens,0.35,0.05,unif,0.20015,0,0.342507,labncon
4.977758,CMT04-Lichens,14.23413,3.486703,weibull,12.833678,347,20.712435,SLA
0.162571,CMT06-Feather,10.0,5.0,gamma,0.467865,,1.024991,extinction_coefficient_diffuse
0.017533,CMT06-Feather,0.3,0.01,unif,0.155145,,0.292757,SW_albedo
8.636496,CMT06-Feather,145.0,5.0,unif,75.06993,,141.503363,ppfd50
0.773702,CMT06-Feather,1.1,0.765,unif,0.932667,,1.091633,vpd_open
3.295456,CMT06-Feather,5.0,3.25,unif,4.125874,,4.956292,vpd_close
-10.84415,CMT06-Feather,-5.0,-11.0,unif,-7.997003,,-5.149856,pstemp_min
2.181825,CMT06-Feather,9.0,2.0,unif,5.503496,,8.825168,pstemp_low
20.15585,CMT06-Feather,26.0,20.0,unif,23.002997,,25.850144,pstemp_high
22.15585,CMT06-Feather,28.0,22.0,unif,25.002997,,27.850144,pstemp_max
778.116414,CMT06-Feather,0.7,8.0,lnorm,3006.455586,0,11766.133712,cuticular_cond
4.977758,CMT04-Feather,14.23413,3.486703,weibull,12.833678,347,20.712435,SLA
0.162571,CMT04-EGreen,10.0,5.0,gamma,0.467865,,1.024991,extinction_coefficient_diffuse
0.017533,CMT04-EGreen,0.3,0.01,unif,0.155145,,0.292757,SW_albedo
1.753274,CMT04-EGreen,30.0,1.0,unif,15.514485,,29.275697,frprod_perc_30
0.746762,CMT04-EGreen,10.0,0.5,unif,5.254745,,9.762728,frprod_perc_40
8.636496,CMT04-EGreen,145.0,5.0,unif,75.06993,,141.503363,ppfd50
0.773702,CMT04-EGreen,1.1,0.765,unif,0.932667,,1.091633,vpd_open
3.295456,CMT04-EGreen,5.0,3.25,unif,4.125874,,4.956292,vpd_close
2.532524,CMT04-EGreen,60.0,1.0,unif,30.52947,,58.526417,frprod_perc_10
12.077998,CMT04-EGreen,90.0,10.0,unif,50.03996,,88.001922,frprod_perc_20
-10.84415,CMT04-EGreen,-5.0,-11.0,unif,-7.997003,,-5.149856,pstemp_min
2.181825,CMT04-EGreen,9.0,2.0,unif,5.503496,,8.825168,pstemp_low
20.15585,CMT04-EGreen,26.0,20.0,unif,23.002997,,25.850144,pstemp_high
22.15585,CMT04-EGreen,28.0,22.0,unif,25.002997,,27.850144,pstemp_max
0.10877,CMT04-EGreen,4.0,0.005,unif,2.004496,,3.900221,frprod_perc_50
778.116414,CMT04-EGreen,0.7,8.0,lnorm,3006.455586,0,11766.133712,cuticular_cond
0.154935,CMT04-EGreen,0.34,0.15,unif,0.245095,0,0.335255,klai
0.057792,CMT04-EGreen,0.35,0.05,unif,0.20015,0,0.342507,labncon
0.162571,CMT05-Betula.copy,10.0,5.0,gamma,0.467865,,1.024991,extinction_coefficient_diffuse
4.977758,CMT05-Decid,14.23413,3.486703,weibull,12.833678,347,20.712435,SLA
0.162571,CMT05-Decid,10.0,5.0,gamma,0.467865,,1.024991,extinction_coefficient_diffuse
0.017533,CMT05-Decid,0.3,0.01,unif,0.155145,,0.292757,SW_albedo
1.753274,CMT05-Decid,30.0,1.0,unif,15.514485,,29.275697,frprod_perc_30
0.746762,CMT05-Decid,10.0,0.5,unif,5.254745,,9.762728,frprod_perc_40
8.636496,CMT05-Decid,145.0,5.0,unif,75.06993,,141.503363,ppfd50
0.773702,CMT05-Decid,1.1,0.765,unif,0.932667,,1.091633,vpd_open
3.295456,CMT05-Decid,5.0,3.25,unif,4.125874,,4.956292,vpd_close
2.532524,CMT05-Decid,60.0,1.0,unif,30.52947,,58.526417,frprod_perc_10
12.077998,CMT05-Decid,90.0,10.0,unif,50.03996,,88.001922,frprod_perc_20
-10.84415,CMT05-Decid,-5.0,-11.0,unif,-7.997003,,-5.149856,pstemp_min
2.181825,CMT05-Decid,9.0,2.0,unif,5.503496,,8.825168,pstemp_low
20.15585,CMT05-Decid,26.0,20.0,unif,23.002997,,25.850144,pstemp_high
22.15585,CMT05-Decid,28.0,22.0,unif,25.002997,,27.850144,pstemp_max
0.10877,CMT05-Decid,4.0,0.005,unif,2.004496,,3.900221,frprod_perc_50
778.116414,CMT05-Decid,0.7,8.0,lnorm,3006.455586,0,11766.133712,cuticular_cond
0.154935,CMT05-Decid,0.34,0.15,unif,0.245095,0,0.335255,klai
0.057792,CMT05-Decid,0.35,0.05,unif,0.20015,0,0.342507,labncon
0.001433,CMT05-Decid,20.0,1.0,gamma,0.034964,0,0.184645,ilai
4.977758,CMT05-EGreen,14.23413,3.486703,weibull,12.833678,347,20.712435,SLA
0.162571,CMT05-EGreen,10.0,5.0,gamma,0.467865,,1.024991,extinction_coefficient_diffuse
0.017533,CMT05-EGreen,0.3,0.01,unif,0.155145,,0.292757,SW_albedo
1.753274,CMT05-EGreen,30.0,1.0,unif,15.514485,,29.275697,frprod_perc_30
0.746762,CMT05-EGreen,10.0,0.5,unif,5.254745,,9.762728,frprod_perc_40
8.636496,CMT05-EGreen,145.0,5.0,unif,75.06993,,141.503363,ppfd50
0.773702,CMT05-EGreen,1.1,0.765,unif,0.932667,,1.091633,vpd_open
3.295456,CMT05-EGreen,5.0,3.25,unif,4.125874,,4.956292,vpd_close
2.532524,CMT05-EGreen,60.0,1.0,unif,30.52947,,58.526417,frprod_perc_10
12.077998,CMT05-EGreen,90.0,10.0,unif,50.03996,,88.001922,frprod_perc_20
-10.84415,CMT05-EGreen,-5.0,-11.0,unif,-7.997003,,-5.149856,pstemp_min
2.181825,CMT05-EGreen,9.0,2.0,unif,5.503496,,8.825168,pstemp_low
20.15585,CMT05-EGreen,26.0,20.0,unif,23.002997,,25.850144,pstemp_high
22.15585,CMT05-EGreen,28.0,22.0,unif,25.002997,,27.850144,pstemp_max
0.10877,CMT05-EGreen,4.0,0.005,unif,2.004496,,3.900221,frprod_perc_50
778.116414,CMT05-EGreen,0.7,8.0,lnorm,3006.455586,0,11766.133712,cuticular_cond
0.154935,CMT05-EGreen,0.34,0.15,unif,0.245095,0,0.335255,klai
0.057792,CMT05-EGreen,0.35,0.05,unif,0.20015,0,0.342507,labncon
0.017533,CMT05-Betula.copy,0.3,0.01,unif,0.155145,,0.292757,SW_albedo
4.977758,CMT05-Sedges,14.23413,3.486703,weibull,12.833678,347,20.712435,SLA
0.162571,CMT05-Sedges,10.0,5.0,gamma,0.467865,,1.024991,extinction_coefficient_diffuse
0.017533,CMT05-Sedges,0.3,0.01,unif,0.155145,,0.292757,SW_albedo
1.753274,CMT05-Sedges,30.0,1.0,unif,15.514485,,29.275697,frprod_perc_30
0.746762,CMT05-Sedges,10.0,0.5,unif,5.254745,,9.762728,frprod_perc_40
8.636496,CMT05-Sedges,145.0,5.0,unif,75.06993,,141.503363,ppfd50
0.773702,CMT05-Sedges,1.1,0.765,unif,0.932667,,1.091633,vpd_open
3.295456,CMT05-Sedges,5.0,3.25,unif,4.125874,,4.956292,vpd_close
2.532524,CMT05-Sedges,60.0,1.0,unif,30.52947,,58.526417,frprod_perc_10
12.077998,CMT05-Sedges,90.0,10.0,unif,50.03996,,88.001922,frprod_perc_20
-10.84415,CMT05-Sedges,-5.0,-11.0,unif,-7.997003,,-5.149856,pstemp_min
2.181825,CMT05-Sedges,9.0,2.0,unif,5.503496,,8.825168,pstemp_low
20.15585,CMT05-Sedges,26.0,20.0,unif,23.002997,,25.850144,pstemp_high
22.15585,CMT05-Sedges,28.0,22.0,unif,25.002997,,27.850144,pstemp_max
0.10877,CMT05-Sedges,4.0,0.005,unif,2.004496,,3.900221,frprod_perc_50
778.116414,CMT05-Sedges,0.7,8.0,lnorm,3006.455586,0,11766.133712,cuticular_cond
0.154935,CMT05-Sedges,0.34,0.15,unif,0.245095,0,0.335255,klai
0.057792,CMT05-Sedges,0.35,0.05,unif,0.20015,0,0.342507,labncon
0.001433,CMT05-Sedges,20.0,1.0,gamma,0.034964,0,0.184645,ilai
0.154935,CMT06-Feather,0.34,0.15,unif,0.245095,0,0.335255,klai
0.057792,CMT06-Feather,0.35,0.05,unif,0.20015,0,0.342507,labncon
8.636496,CMT05-Betula.copy,145.0,5.0,unif,75.06993,,141.503363,ppfd50
4.977758,CMT05-Forbs,14.23413,3.486703,weibull,12.833678,347,20.712435,SLA
0.162571,CMT06-Sphag,10.0,5.0,gamma,0.467865,,1.024991,extinction_coefficient_diffuse
0.017533,CMT06-Sphag,0.3,0.01,unif,0.155145,,0.292757,SW_albedo
8.636496,CMT06-Sphag,145.0,5.0,unif,75.06993,,141.503363,ppfd50
0.773702,CMT06-Sphag,1.1,0.765,unif,0.932667,,1.091633,vpd_open
3.295456,CMT06-Sphag,5.0,3.25,unif,4.125874,,4.956292,vpd_close
-10.84415,CMT06-Sphag,-5.0,-11.0,unif,-7.997003,,-5.149856,pstemp_min
2.181825,CMT06-Sphag,9.0,2.0,unif,5.503496,,8.825168,pstemp_low
20.15585,CMT06-Sphag,26.0,20.0,unif,23.002997,,25.850144,pstemp_high
22.15585,CMT06-Sphag,28.0,22.0,unif,25.002997,,27.850144,pstemp_max
778.116414,CMT06-Sphag,0.7,8.0,lnorm,3006.455586,0,11766.133712,cuticular_cond
0.154935,CMT06-Sphag,0.34,0.15,unif,0.245095,0,0.335255,klai
0.057792,CMT06-Sphag,0.35,0.05,unif,0.20015,0,0.342507,labncon
0.773702,CMT05-Betula.copy,1.1,0.765,unif,0.932667,,1.091633,vpd_open
4.977758,CMT05-Lichens,14.23413,3.486703,weibull,12.833678,347,20.712435,SLA
0.162571,CMT07-Decid,10.0,5.0,gamma,0.467865,,1.024991,extinction_coefficient_diffuse
0.017533,CMT07-Decid,0.3,0.01,unif,0.155145,,0.292757,SW_albedo
1.753274,CMT07-Decid,30.0,1.0,unif,15.514485,,29.275697,frprod_perc_30
0.746762,CMT07-Decid,10.0,0.5,unif,5.254745,,9.762728,frprod_perc_40
8.636496,CMT07-Decid,145.0,5.0,unif,75.06993,,141.503363,ppfd50
0.773702,CMT07-Decid,1.1,0.765,unif,0.932667,,1.091633,vpd_open
3.295456,CMT07-Decid,5.0,3.25,unif,4.125874,,4.956292,vpd_close
2.532524,CMT07-Decid,60.0,1.0,unif,30.52947,,58.526417,frprod_perc_10
12.077998,CMT07-Decid,90.0,10.0,unif,50.03996,,88.001922,frprod_perc_20
-10.84415,CMT07-Decid,-5.0,-11.0,unif,-7.997003,,-5.149856,pstemp_min
2.181825,CMT07-Decid,9.0,2.0,unif,5.503496,,8.825168,pstemp_low
20.15585,CMT07-Decid,26.0,20.0,unif,23.002997,,25.850144,pstemp_high
22.15585,CMT07-Decid,28.0,22.0,unif,25.002997,,27.850144,pstemp_max
0.10877,CMT07-Decid,4.0,0.005,unif,2.004496,,3.900221,frprod_perc_50
778.116414,CMT07-Decid,0.7,8.0,lnorm,3006.455586,0,11766.133712,cuticular_cond
0.154935,CMT07-Decid,0.34,0.15,unif,0.245095,0,0.335255,klai
0.057792,CMT07-Decid,0.35,0.05,unif,0.20015,0,0.342507,labncon
0.001433,CMT07-Decid,20.0,1.0,gamma,0.034964,0,0.184645,ilai
4.977758,CMT05-Feather,14.23413,3.486703,weibull,12.833678,347,20.712435,SLA
0.162571,CMT07-EGreen,10.0,5.0,gamma,0.467865,,1.024991,extinction_coefficient_diffuse
0.017533,CMT07-EGreen,0.3,0.01,unif,0.155145,,0.292757,SW_albedo
1.753274,CMT07-EGreen,30.0,1.0,unif,15.514485,,29.275697,frprod_perc_30
0.746762,CMT07-EGreen,10.0,0.5,unif,5.254745,,9.762728,frprod_perc_40
8.636496,CMT07-EGreen,145.0,5.0,unif,75.06993,,141.503363,ppfd50
0.773702,CMT07-EGreen,1.1,0.765,unif,0.932667,,1.091633,vpd_open
3.295456,CMT07-EGreen,5.0,3.25,unif,4.125874,,4.956292,vpd_close
2.532524,CMT07-EGreen,60.0,1.0,unif,30.52947,,58.526417,frprod_perc_10
12.077998,CMT07-EGreen,90.0,10.0,unif,50.03996,,88.001922,frprod_perc_20
-10.84415,CMT07-EGreen,-5.0,-11.0,unif,-7.997003,,-5.149856,pstemp_min
1.753274,CMT05-Forbs,30.0,1.0,unif,15.514485,,29.275697,frprod_perc_30
0.746762,CMT05-Forbs,10.0,0.5,unif,5.254745,,9.762728,frprod_perc_40
2.532524,CMT05-Forbs,60.0,1.0,unif,30.52947,,58.526417,frprod_perc_10
8.636496,CMT05-Forbs,145.0,5.0,unif,75.06993,,141.503363,ppfd50
0.001433,CMT05-Forbs,20.0,1.0,gamma,0.034964,0,0.184645,ilai
12.077998,CMT05-Forbs,90.0,10.0,unif,50.03996,,88.001922,frprod_perc_20
0.154935,CMT05-Forbs,0.34,0.15,unif,0.245095,0,0.335255,klai
0.057792,CMT05-Forbs,0.35,0.05,unif,0.20015,0,0.342507,labncon
0.773702,CMT05-Forbs,1.1,0.765,unif,0.932667,,1.091633,vpd_open
778.116414,CMT05-Forbs,0.7,8.0,lnorm,3006.455586,0,11766.133712,cuticular_cond
3.295456,CMT05-Forbs,5.0,3.25,unif,4.125874,,4.956292,vpd_close
-10.84415,CMT05-Forbs,-5.0,-11.0,unif,-7.997003,,-5.149856,pstemp_min
2.181825,CMT05-Forbs,9.0,2.0,unif,5.503496,,8.825168,pstemp_low
20.15585,CMT05-Forbs,26.0,20.0,unif,23.002997,,25.850144,pstemp_high
22.15585,CMT05-Forbs,28.0,22.0,unif,25.002997,,27.850144,pstemp_max
0.10877,CMT05-Forbs,4.0,0.005,unif,2.004496,,3.900221,frprod_perc_50
0.162571,CMT05-Forbs,10.0,5.0,gamma,0.467865,,1.024991,extinction_coefficient_diffuse
0.017533,CMT05-Forbs,0.3,0.01,unif,0.155145,,0.292757,SW_albedo
4.977758,CMT05-Sphag,14.23413,3.486703,weibull,12.833678,347,20.712435,SLA
4.977758,CMT04-Salix.1,14.23413,3.486703,weibull,12.833678,347,20.712435,SLA
0.162571,CMT05-Lichens,10.0,5.0,gamma,0.467865,,1.024991,extinction_coefficient_diffuse
0.017533,CMT05-Lichens,0.3,0.01,unif,0.155145,,0.292757,SW_albedo
3.295456,CMT05-Betula.copy,5.0,3.25,unif,4.125874,,4.956292,vpd_close
1.510481,CMT04-Lichens,0.25,2.0,norm,2.000773,,2.491065,ilai
8.636496,CMT05-Lichens,145.0,5.0,unif,75.06993,,141.503363,ppfd50
0.773702,CMT05-Lichens,1.1,0.765,unif,0.932667,,1.091633,vpd_open
3.295456,CMT05-Lichens,5.0,3.25,unif,4.125874,,4.956292,vpd_close
1.510481,CMT04-Feather,0.25,2.0,norm,2.000773,,2.491065,ilai
0.002526,CMT05-Betula.copy,0.0035,0.0025,unif,0.003,,0.003475,gcmax
-10.84415,CMT05-Lichens,-5.0,-11.0,unif,-7.997003,,-5.149856,pstemp_min
2.181825,CMT05-Lichens,9.0,2.0,unif,5.503496,,8.825168,pstemp_low
20.15585,CMT05-Lichens,26.0,20.0,unif,23.002997,,25.850144,pstemp_high
22.15585,CMT05-Lichens,28.0,22.0,unif,25.002997,,27.850144,pstemp_max
1.510481,CMT05-Lichens,0.25,2.0,norm,2.000773,,2.491065,ilai
778.116414,CMT05-Lichens,0.7,8.0,lnorm,3006.455586,0,11766.133712,cuticular_cond
0.154935,CMT05-Lichens,0.34,0.15,unif,0.245095,0,0.335255,klai
0.057792,CMT05-Lichens,0.35,0.05,unif,0.20015,0,0.342507,labncon
4.977758,CMT06-Decid,14.23413,3.486703,weibull,12.833678,347,20.712435,SLA
0.162571,CMT05-Feather,10.0,5.0,gamma,0.467865,,1.024991,extinction_coefficient_diffuse
0.017533,CMT05-Feather,0.3,0.01,unif,0.155145,,0.292757,SW_albedo
1.510481,CMT05-Feather,0.25,2.0,norm,2.000773,,2.491065,ilai
1.510481,CMT05-Sphag,0.25,2.0,norm,2.000773,,2.491065,ilai
8.636496,CMT05-Feather,145.0,5.0,unif,75.06993,,141.503363,ppfd50
0.773702,CMT05-Feather,1.1,0.765,unif,0.932667,,1.091633,vpd_open
3.295456,CMT05-Feather,5.0,3.25,unif,4.125874,,4.956292,vpd_close
1.510481,CMT06-Lichens,0.25,2.0,norm,2.000773,,2.491065,ilai
1.510481,CMT06-Feather,0.25,2.0,norm,2.000773,,2.491065,ilai
-10.84415,CMT05-Feather,-5.0,-11.0,unif,-7.997003,,-5.149856,pstemp_min
2.181825,CMT05-Feather,9.0,2.0,unif,5.503496,,8.825168,pstemp_low
20.15585,CMT05-Feather,26.0,20.0,unif,23.002997,,25.850144,pstemp_high
22.15585,CMT05-Feather,28.0,22.0,unif,25.002997,,27.850144,pstemp_max
1.510481,CMT06-Sphag,0.25,2.0,norm,2.000773,,2.491065,ilai
778.116414,CMT05-Feather,0.7,8.0,lnorm,3006.455586,0,11766.133712,cuticular_cond
0.154935,CMT05-Feather,0.34,0.15,unif,0.245095,0,0.335255,klai
0.057792,CMT05-Feather,0.35,0.05,unif,0.20015,0,0.342507,labncon
4.977758,CMT06-Lichens,14.23413,3.486703,weibull,12.833678,347,20.712435,SLA
0.162571,CMT05-Sphag,10.0,5.0,gamma,0.467865,,1.024991,extinction_coefficient_diffuse
0.017533,CMT05-Sphag,0.3,0.01,unif,0.155145,,0.292757,SW_albedo
1.510481,CMT07-Lichens,0.25,2.0,norm,2.000773,,2.491065,ilai
8.636496,CMT05-Sphag,145.0,5.0,unif,75.06993,,141.503363,ppfd50
